Voter,Constituency,PollingStation,Candidate
v129,Niphad,p2,KamaVarma
v130,Chembur,p32,SanyaKaniyar
v131,Mukhed,p37,NawalTandon
v132,Teosa,p6,TarunDesai
v133,Teosa,p9,VinayDeshpande
v134,Teosa,p5,KamalaSaini
v135,Kaij,p17,AnaghBanerjee
v136,Niphad,p3,PranBanerjee
v137,Teosa,p8,BhagwantiPatel
v138,Kaij,p17,NOTA
v139,Karanja,p47,PoornimaTalwar
v140,Mahad,p42,LakshmanPillai
v141,Karanja,p48,AnalMalik
v142,Hingna,p24,BaijayantiJain
v143,Mukhed,p38,UditGill
v144,Baglan,p25,NOTA
v145,Ulhasnagar,p12,SwaraIyer
v146,Hingna,p21,NOTA
v147,Chembur,p31,NOTA
v148,Mukhed,p37,BhaaswarMarar
v149,Karanja,p49,SwarnalataJoshi
v150,Karanja,p45,SwarnalataJoshi
v151,Kaij,p18,ChaitanSharma
v152,Hingna,p20,BaijayantiJain
v153,Ulhasnagar,p14,BhavesChaturvedi
v154,Teosa,p9,VinayDeshpande
v155,Kaij,p18,AnaghBanerjee
v156,Kaij,p18,AnaghBanerjee
v157,Karanja,p46,SwarnalataJoshi
v158,Mukhed,p39,NOTA
v159,Baglan,p28,KanakPandey
v160,Kaij,p15,AnaghBanerjee
v161,Karanja,p46,SwarnalataJoshi
v162,Karanja,p47,AnalMalik
v163,Niphad,p1,KamaVarma
v164,Teosa,p8,VinayDeshpande
v165,Ulhasnagar,p10,NOTA
v166,Kaij,p19,NOTA
v167,Chembur,p32,VedaNaik
v168,Mukhed,p37,BhooshanKaniyar
v169,Baglan,p27,DiptenduNamboothiri
v170,Hingna,p22,NOTA
v171,Hingna,p23,BaijayantiJain
v172,Niphad,p1,ChidambarPanicker
v173,Ulhasnagar,p12,AnamikaPilla
v174,Baglan,p28,NOTA
v175,Teosa,p9,TarunDesai
v176,Ulhasnagar,p10,SwaraIyer
v177,Ulhasnagar,p14,DeeptenduMenon
v178,Baglan,p25,UrmilaBhat
v179,Mukhed,p39,BhooshanKaniyar
v180,Hingna,p20,HiranyaKhatri
v181,Chembur,p31,VedaNaik
v182,Niphad,p3,PranBanerjee
v183,Mukhed,p36,NOTA
v184,Hingna,p20,ShardaAdiga
v185,Kaij,p17,AnaghBanerjee
v186,Chembur,p30,ChandramohanAhuja
v187,Karanja,p49,PoornimaTalwar
v188,Teosa,p6,RajAsan
v189,Karanja,p48,SwarnalataJoshi
v190,Chembur,p33,VedaNaik
v191,Baglan,p28,UrmilaBhat
v192,Baglan,p28,UrmilaBhat
v193,Kaij,p19,NOTA
v194,Chembur,p32,ChandramohanAhuja
v195,Teosa,p8,TarunDesai
v196,Ulhasnagar,p10,DeeptenduMenon
v197,Ulhasnagar,p13,DeeptenduMenon
v198,Karanja,p47,NavinGupta
v199,Teosa,p8,NOTA
v200,Hingna,p20,HiranyaKhatri
v201,Teosa,p7,TarunDesai
v202,Niphad,p1,PranBanerjee
v203,Hingna,p22,ShardaAdiga
v204,Mahad,p41,NOTA
v205,Hingna,p21,BaijayantiJain
v206,Teosa,p5,RajAsan
v207,Chembur,p33,VedaNaik
v208,Hingna,p24,BaijayantiJain
v209,Baglan,p26,NOTA
v210,Niphad,p0,KamaVarma
v211,Niphad,p0,ChidambarPanicker
v212,Kaij,p19,NOTA
v213,Ulhasnagar,p14,DhanapatiKhan
v214,Mukhed,p36,NawalTandon
v215,Niphad,p3,NOTA
v216,Ulhasnagar,p14,NOTA
v217,Karanja,p49,NOTA
v218,Chembur,p32,SanyaKaniyar
v219,Teosa,p6,VinayDeshpande
v220,Mukhed,p35,NawalTandon
v221,Niphad,p2,KamaVarma
v222,Karanja,p45,AnalMalik
v223,Mukhed,p38,BhooshitDwivedi
v224,Chembur,p32,DinakarShah
v225,Hingna,p23,BaijayantiJain
v226,Karanja,p48,SwarnalataJoshi
v227,Karanja,p45,SwarnalataJoshi
v228,Baglan,p26,UrmilaBhat
v229,Mukhed,p39,BhooshitDwivedi
v230,Niphad,p0,PranBanerjee
v231,Ulhasnagar,p12,DhanapatiKhan
v232,Teosa,p7,BhagwantiPatel
v233,Karanja,p47,NavinGupta
v234,Teosa,p6,NOTA
v235,Kaij,p18,NOTA
v236,Niphad,p0,KamaVarma
v237,Ulhasnagar,p14,BhavesChaturvedi
v238,Kaij,p16,NOTA
v239,Karanja,p49,SwarnalataJoshi
v240,Mukhed,p38,BhaaswarMarar
v241,Karanja,p45,NOTA
v242,Chembur,p34,VedaNaik
v243,Mukhed,p35,NOTA
v244,Karanja,p46,SwarnalataJoshi
v245,Mahad,p40,BhishamGandhi
v246,Baglan,p25,NOTA
v247,Ulhasnagar,p10,SwaraIyer
v248,Karanja,p45,NOTA
v249,Mukhed,p39,UditGill
v250,Teosa,p6,NOTA
v251,Ulhasnagar,p12,AnamikaPilla
v252,Ulhasnagar,p10,NOTA
v253,Karanja,p46,SwarnalataJoshi
v254,Kaij,p17,ChaitanSharma
v255,Chembur,p32,VedaNaik
v256,Niphad,p0,PranBanerjee
v257,Chembur,p30,NOTA
v258,Mukhed,p38,BhooshitDwivedi
v259,Karanja,p49,NavinGupta
v260,Mahad,p41,AmritaJha
v261,Niphad,p2,PranBanerjee
v262,Karanja,p47,NOTA
v263,Baglan,p27,NOTA
v264,Kaij,p16,ChaitanSharma
v265,Teosa,p5,VinayDeshpande
v266,Karanja,p47,AnalMalik
v267,Mahad,p43,LakshmanPillai
v268,Niphad,p2,ChidambarPanicker
v269,Karanja,p47,NavinGupta
v270,Karanja,p45,SwarnalataJoshi
v271,Ulhasnagar,p12,MeghnadPrajapat
v272,Niphad,p0,ChidambarPanicker
v273,Mahad,p42,NOTA
v274,Karanja,p47,AnalMalik
v275,Teosa,p6,AmareshKakkar
v276,Chembur,p31,ChandramohanAhuja
v277,Ulhasnagar,p13,SwaraIyer
v278,Ulhasnagar,p11,MeghnadPrajapat
v279,Mukhed,p37,BhaaswarMarar
v280,Niphad,p0,PranBanerjee
v281,Baglan,p26,UrmilaBhat
v282,Hingna,p20,ShardaAdiga
v283,Niphad,p0,KamaVarma
v284,Mahad,p41,AmritaJha
v285,Hingna,p23,HiranyaKhatri
v286,Hingna,p22,ShardaAdiga
v287,Mahad,p43,NOTA
v288,Kaij,p15,NOTA
v289,Ulhasnagar,p12,NOTA
v290,Mukhed,p38,NawalTandon
v291,Ulhasnagar,p10,NOTA
v292,Niphad,p4,KamaVarma
v293,Kaij,p18,ChaitanSharma
v294,Chembur,p33,DinakarShah
v295,Hingna,p23,BaijayantiJain
v296,Mukhed,p38,BhaaswarMarar
v297,Mahad,p40,AmritaJha
v298,Niphad,p2,PranBanerjee
v299,Niphad,p4,PranBanerjee
v300,Baglan,p27,DiptenduNamboothiri
v301,Niphad,p0,ChidambarPanicker
v302,Chembur,p32,DinakarShah
v303,Mahad,p44,LakshmanPillai
v304,Teosa,p8,RageshwariNaik
v305,Hingna,p24,ShardaAdiga
v306,Hingna,p24,HiranyaKhatri
v307,Mahad,p44,LakshmanPillai
v308,Teosa,p9,AmareshKakkar
v309,Mukhed,p37,NOTA
v310,Hingna,p20,BaijayantiJain
v311,Niphad,p0,ChidambarPanicker
v312,Niphad,p1,PranBanerjee
v313,Mukhed,p38,BhooshanKaniyar
v314,Chembur,p31,DinakarShah
v315,Niphad,p0,NOTA
v316,Karanja,p48,NavinGupta
v317,Niphad,p0,NOTA
v318,Mahad,p40,LakshmanPillai
v319,Mukhed,p37,BhaaswarMarar
v320,Niphad,p4,KamaVarma
v321,Kaij,p18,AnaghBanerjee
v322,Mahad,p42,AmritaJha
v323,Baglan,p25,KanakPandey
v324,Chembur,p33,SanyaKaniyar
v325,Mukhed,p35,BhooshanKaniyar
v326,Mahad,p44,NOTA
v327,Teosa,p9,NOTA
v328,Niphad,p4,KamaVarma
v329,Karanja,p45,AnalMalik
v330,Baglan,p29,NOTA
v331,Niphad,p4,ChidambarPanicker
v332,Kaij,p19,AnaghBanerjee
v333,Mukhed,p39,NawalTandon
v334,Karanja,p46,PoornimaTalwar
v335,Chembur,p32,NOTA
v336,Niphad,p2,KamaVarma
v337,Karanja,p49,PoornimaTalwar
v338,Niphad,p1,PranBanerjee
v339,Baglan,p27,KanakPandey
v340,Niphad,p2,KamaVarma
v341,Niphad,p3,NOTA
v342,Chembur,p32,NOTA
v343,Niphad,p0,KamaVarma
v344,Karanja,p48,PoornimaTalwar
v345,Mahad,p40,BhishamGandhi
v346,Ulhasnagar,p10,MeghnadPrajapat
v347,Chembur,p33,ChandramohanAhuja
v348,Kaij,p18,ChaitanSharma
v349,Hingna,p21,NOTA
v350,Mukhed,p39,BhooshanKaniyar
v351,Baglan,p29,KanakPandey
v352,Mahad,p44,LakshmanPillai
v353,Hingna,p24,ShardaAdiga
v354,Mukhed,p38,UditGill
v355,Karanja,p45,NOTA
v356,Baglan,p26,KanakPandey
v357,Mahad,p42,AmritaJha
v358,Ulhasnagar,p10,SwaraIyer
v359,Hingna,p21,ShardaAdiga
v360,Kaij,p15,ChaitanSharma
v361,Baglan,p26,UrmilaBhat
v362,Kaij,p18,ChaitanSharma
v363,Baglan,p26,KanakPandey
v364,Teosa,p6,VinayDeshpande
v365,Hingna,p21,HiranyaKhatri
v366,Mukhed,p36,BhooshitDwivedi
v367,Ulhasnagar,p11,DeeptenduMenon
v368,Kaij,p18,ChaitanSharma
v369,Teosa,p6,NOTA
v370,Baglan,p26,DiptenduNamboothiri
v371,Chembur,p34,DinakarShah
v372,Ulhasnagar,p10,BhavesChaturvedi
v373,Ulhasnagar,p12,SwaraIyer
v374,Karanja,p48,SwarnalataJoshi
v375,Chembur,p33,SanyaKaniyar
v376,Mahad,p44,AmritaJha
v377,Karanja,p49,NavinGupta
v378,Niphad,p0,ChidambarPanicker
v379,Mukhed,p38,BhooshitDwivedi
v380,Teosa,p6,BhagwantiPatel
v381,Karanja,p46,PoornimaTalwar
v382,Teosa,p5,NOTA
v383,Ulhasnagar,p13,DeeptenduMenon
v384,Chembur,p33,DinakarShah
v385,Kaij,p16,AnaghBanerjee
v386,Niphad,p1,ChidambarPanicker
v387,Teosa,p6,AmareshKakkar
v388,Kaij,p15,NOTA
v389,Teosa,p5,RageshwariNaik
v390,Chembur,p33,DinakarShah
v391,Niphad,p0,PranBanerjee
v392,Mukhed,p37,NOTA
v393,Chembur,p31,DinakarShah
v394,Kaij,p17,ChaitanSharma
v395,Karanja,p48,SwarnalataJoshi
v396,Niphad,p2,KamaVarma
v397,Kaij,p18,ChaitanSharma
v398,Baglan,p28,KanakPandey
v399,Teosa,p7,KamalaSaini
v400,Ulhasnagar,p12,SwaraIyer
v401,Baglan,p26,DiptenduNamboothiri
v402,Niphad,p4,KamaVarma
v403,Mukhed,p39,BhooshitDwivedi
v404,Baglan,p29,KanakPandey
v405,Teosa,p8,KamalaSaini
v406,Baglan,p28,DiptenduNamboothiri
v407,Mahad,p43,AmritaJha
v408,Chembur,p32,DinakarShah
v409,Mukhed,p37,NawalTandon
v410,Niphad,p3,KamaVarma
v411,Mahad,p44,LakshmanPillai
v412,Niphad,p0,PranBanerjee
v413,Kaij,p17,NOTA
v414,Karanja,p49,NOTA
v415,Baglan,p25,NOTA
v416,Ulhasnagar,p10,SwaraIyer
v417,Baglan,p25,UrmilaBhat
v418,Ulhasnagar,p11,AnamikaPilla
v419,Mukhed,p39,NOTA
v420,Mukhed,p39,BhooshitDwivedi
v421,Ulhasnagar,p12,BhavesChaturvedi
v422,Baglan,p26,KanakPandey
v423,Mukhed,p37,BhaaswarMarar
v424,Niphad,p3,NOTA
v425,Baglan,p29,UrmilaBhat
v426,Hingna,p21,BaijayantiJain
v427,Hingna,p24,BaijayantiJain
v428,Mukhed,p37,NawalTandon
v429,Niphad,p2,NOTA
v430,Baglan,p26,UrmilaBhat
v431,Baglan,p25,UrmilaBhat
v432,Karanja,p48,PoornimaTalwar
v433,Ulhasnagar,p10,NOTA
v434,Ulhasnagar,p14,NOTA
v435,Kaij,p18,NOTA
v436,Chembur,p30,VedaNaik
v437,Karanja,p45,NOTA
v438,Hingna,p20,BaijayantiJain
v439,Hingna,p20,NOTA
v440,Karanja,p49,NavinGupta
v441,Mahad,p40,AmritaJha
v442,Mahad,p43,AmritaJha
v443,Karanja,p45,AnalMalik
v444,Karanja,p48,NOTA
v445,Mukhed,p37,NawalTandon
v446,Baglan,p29,DiptenduNamboothiri
v447,Niphad,p0,ChidambarPanicker
v448,Hingna,p20,BaijayantiJain
v449,Baglan,p28,NOTA
v450,Kaij,p19,AnaghBanerjee
v451,Chembur,p32,SanyaKaniyar
v452,Niphad,p2,KamaVarma
v453,Ulhasnagar,p10,AnamikaPilla
v454,Hingna,p22,HiranyaKhatri
v455,Teosa,p9,RajAsan
v456,Teosa,p9,AmareshKakkar
v457,Hingna,p24,ShardaAdiga
v458,Teosa,p7,KamalaSaini
v459,Kaij,p18,AnaghBanerjee
v460,Baglan,p27,KanakPandey
v461,Kaij,p16,AnaghBanerjee
v462,Niphad,p1,PranBanerjee
v463,Baglan,p26,KanakPandey
v464,Mukhed,p39,BhooshitDwivedi
v465,Kaij,p16,AnaghBanerjee
v466,Mahad,p43,NOTA
v467,Niphad,p4,NOTA
v468,Ulhasnagar,p13,NOTA
v469,Ulhasnagar,p11,AnamikaPilla
v470,Niphad,p4,NOTA
v471,Teosa,p8,RajAsan
v472,Karanja,p48,NOTA
v473,Chembur,p32,SanyaKaniyar
v474,Hingna,p22,NOTA
v475,Chembur,p33,VedaNaik
v476,Niphad,p1,NOTA
v477,Mahad,p42,BhishamGandhi
v478,Hingna,p22,NOTA
v479,Baglan,p28,UrmilaBhat
v480,Teosa,p8,VinayDeshpande
v481,Niphad,p1,KamaVarma
v482,Mukhed,p38,BhooshitDwivedi
v483,Mukhed,p38,BhooshitDwivedi
v484,Hingna,p22,HiranyaKhatri
v485,Mukhed,p36,BhooshitDwivedi
v486,Chembur,p34,ChandramohanAhuja
v487,Karanja,p46,PoornimaTalwar
v488,Kaij,p15,AnaghBanerjee
v489,Baglan,p25,KanakPandey
v490,Karanja,p45,NOTA
v491,Mukhed,p36,BhooshitDwivedi
v492,Mukhed,p36,BhooshitDwivedi
v493,Kaij,p15,AnaghBanerjee
v494,Mahad,p40,AmritaJha
v495,Hingna,p23,ShardaAdiga
v496,Hingna,p22,HiranyaKhatri
v497,Karanja,p49,NOTA
v498,Chembur,p30,DinakarShah
v499,Chembur,p32,DinakarShah
v500,Hingna,p20,HiranyaKhatri
v501,Hingna,p21,ShardaAdiga
v502,Baglan,p28,NOTA
v503,Teosa,p5,RajAsan
v504,Ulhasnagar,p10,MeghnadPrajapat
v505,Kaij,p18,AnaghBanerjee
v506,Mukhed,p35,UditGill
v507,Ulhasnagar,p12,NOTA
v508,Niphad,p0,KamaVarma
v509,Mahad,p41,BhishamGandhi
v510,Karanja,p48,NavinGupta
v511,Niphad,p3,NOTA
v512,Chembur,p30,DinakarShah
v513,Mukhed,p38,BhooshanKaniyar
v514,Karanja,p46,NavinGupta
v515,Karanja,p48,PoornimaTalwar
v516,Ulhasnagar,p10,AnamikaPilla
v517,Teosa,p5,RageshwariNaik
v518,Niphad,p4,PranBanerjee
v519,Hingna,p21,NOTA
v520,Hingna,p24,BaijayantiJain
v521,Ulhasnagar,p14,DhanapatiKhan
v522,Baglan,p29,NOTA
v523,Karanja,p46,NavinGupta
v524,Mukhed,p38,BhaaswarMarar
v525,Ulhasnagar,p11,SwaraIyer
v526,Hingna,p21,NOTA
v527,Mahad,p42,NOTA
v528,Mukhed,p35,BhaaswarMarar
v529,Kaij,p19,AnaghBanerjee
v530,Niphad,p2,NOTA
v531,Kaij,p18,NOTA
v532,Karanja,p48,AnalMalik
v533,Kaij,p19,ChaitanSharma
v534,Karanja,p48,SwarnalataJoshi
v535,Karanja,p48,NavinGupta
v536,Ulhasnagar,p12,NOTA
v537,Ulhasnagar,p11,SwaraIyer
v538,Teosa,p9,AmareshKakkar
v539,Hingna,p20,ShardaAdiga
v540,Chembur,p33,NOTA
v541,Teosa,p6,BhagwantiPatel
v542,Karanja,p49,SwarnalataJoshi
v543,Chembur,p32,ChandramohanAhuja
v544,Mukhed,p37,UditGill
v545,Mukhed,p39,UditGill
v546,Niphad,p1,KamaVarma
v547,Niphad,p0,NOTA
v548,Teosa,p7,VinayDeshpande
v549,Baglan,p25,UrmilaBhat
v550,Kaij,p19,NOTA
v551,Hingna,p22,NOTA
v552,Chembur,p34,NOTA
v553,Niphad,p4,PranBanerjee
v554,Teosa,p7,RajAsan
v555,Mahad,p44,BhishamGandhi
v556,Teosa,p9,TarunDesai
v557,Kaij,p16,ChaitanSharma
v558,Karanja,p48,NavinGupta
v559,Hingna,p23,NOTA
v560,Niphad,p1,KamaVarma
v561,Mahad,p40,BhishamGandhi
v562,Kaij,p17,AnaghBanerjee
v563,Karanja,p48,PoornimaTalwar
v564,Baglan,p28,DiptenduNamboothiri
v565,Hingna,p21,BaijayantiJain
v566,Ulhasnagar,p14,BhavesChaturvedi
v567,Kaij,p15,NOTA
v568,Karanja,p49,PoornimaTalwar
v569,Ulhasnagar,p14,MeghnadPrajapat
v570,Ulhasnagar,p12,DeeptenduMenon
v571,Niphad,p2,KamaVarma
v572,Baglan,p29,DiptenduNamboothiri
v573,Teosa,p9,VinayDeshpande
v574,Baglan,p25,DiptenduNamboothiri
v575,Hingna,p21,NOTA
v576,Baglan,p26,NOTA
v577,Mukhed,p35,BhooshanKaniyar
v578,Mahad,p44,BhishamGandhi
v579,Niphad,p0,NOTA
v580,Hingna,p21,BaijayantiJain
v581,Kaij,p16,AnaghBanerjee
v582,Mahad,p44,BhishamGandhi
v583,Teosa,p6,RageshwariNaik
v584,Kaij,p19,NOTA
v585,Chembur,p33,DinakarShah
v586,Niphad,p3,PranBanerjee
v587,Baglan,p29,UrmilaBhat
v588,Niphad,p3,NOTA
v589,Ulhasnagar,p14,BhavesChaturvedi
v590,Karanja,p49,AnalMalik
v591,Kaij,p17,ChaitanSharma
v592,Mahad,p43,LakshmanPillai
v593,Hingna,p22,HiranyaKhatri
v594,Hingna,p24,HiranyaKhatri
v595,Ulhasnagar,p10,BhavesChaturvedi
v596,Mahad,p41,AmritaJha
v597,Teosa,p6,RajAsan
v598,Karanja,p48,NOTA
v599,Baglan,p25,NOTA
v600,Karanja,p45,PoornimaTalwar
v601,Teosa,p8,AmareshKakkar
v602,Mahad,p43,AmritaJha
v603,Hingna,p23,ShardaAdiga
v604,Karanja,p47,SwarnalataJoshi
v605,Kaij,p19,AnaghBanerjee
v606,Mukhed,p35,BhooshanKaniyar
v607,Mukhed,p37,BhooshanKaniyar
v608,Teosa,p9,VinayDeshpande
v609,Hingna,p24,HiranyaKhatri
v610,Hingna,p20,NOTA
v611,Niphad,p4,NOTA
v612,Mukhed,p37,BhooshitDwivedi
v613,Mahad,p44,BhishamGandhi
v614,Baglan,p26,UrmilaBhat
v615,Hingna,p23,NOTA
v616,Chembur,p30,DinakarShah
v617,Ulhasnagar,p14,DeeptenduMenon
v618,Kaij,p17,AnaghBanerjee
v619,Ulhasnagar,p14,NOTA
v620,Mukhed,p39,BhooshanKaniyar
v621,Kaij,p18,AnaghBanerjee
v622,Kaij,p18,NOTA
v623,Chembur,p33,NOTA
v624,Mukhed,p39,BhaaswarMarar
v625,Niphad,p4,NOTA
v626,Mahad,p41,LakshmanPillai
v627,Hingna,p20,HiranyaKhatri
v628,Hingna,p20,HiranyaKhatri
v629,Teosa,p5,RageshwariNaik
v630,Baglan,p25,KanakPandey
v631,Ulhasnagar,p12,MeghnadPrajapat
v632,Niphad,p3,KamaVarma
v633,Hingna,p22,BaijayantiJain
v634,Baglan,p28,DiptenduNamboothiri
v635,Ulhasnagar,p11,DhanapatiKhan
v636,Teosa,p5,RajAsan
v637,Baglan,p27,NOTA
v638,Chembur,p34,ChandramohanAhuja
v639,Mukhed,p39,NawalTandon
v640,Mukhed,p35,BhooshitDwivedi
v641,Kaij,p15,AnaghBanerjee
v642,Niphad,p0,ChidambarPanicker
v643,Karanja,p46,AnalMalik
v644,Kaij,p16,AnaghBanerjee
v645,Niphad,p2,NOTA
v646,Niphad,p0,KamaVarma
v647,Mukhed,p39,UditGill
v648,Kaij,p17,NOTA
v649,Baglan,p25,NOTA
v650,Kaij,p18,ChaitanSharma
v651,Karanja,p45,PoornimaTalwar
v652,Niphad,p2,ChidambarPanicker
v653,Mahad,p41,AmritaJha
v654,Karanja,p49,NavinGupta
v655,Niphad,p0,ChidambarPanicker
v656,Ulhasnagar,p14,DhanapatiKhan
v657,Ulhasnagar,p13,DhanapatiKhan
v658,Mahad,p41,BhishamGandhi
v659,Niphad,p1,KamaVarma
v660,Karanja,p48,SwarnalataJoshi
v661,Niphad,p0,KamaVarma
v662,Mahad,p44,AmritaJha
v663,Mahad,p42,BhishamGandhi
v664,Niphad,p4,KamaVarma
v665,Kaij,p15,AnaghBanerjee
v666,Ulhasnagar,p14,BhavesChaturvedi
v667,Karanja,p48,SwarnalataJoshi
v668,Teosa,p6,VinayDeshpande
v669,Teosa,p9,VinayDeshpande
v670,Ulhasnagar,p11,DhanapatiKhan
v671,Mukhed,p37,NawalTandon
v672,Hingna,p24,HiranyaKhatri
v673,Kaij,p15,ChaitanSharma
v674,Mukhed,p39,BhooshitDwivedi
v675,Mahad,p44,AmritaJha
v676,Chembur,p33,NOTA
v677,Niphad,p2,ChidambarPanicker
v678,Baglan,p28,NOTA
v679,Niphad,p3,ChidambarPanicker
v680,Mukhed,p38,BhaaswarMarar
v681,Niphad,p2,PranBanerjee
v682,Hingna,p20,BaijayantiJain
v683,Mukhed,p37,NOTA
v684,Mukhed,p38,BhooshitDwivedi
v685,Mukhed,p37,NawalTandon
v686,Mahad,p41,NOTA
v687,Teosa,p5,BhagwantiPatel
v688,Mahad,p41,LakshmanPillai
v689,Niphad,p0,ChidambarPanicker
v690,Chembur,p32,DinakarShah
v691,Chembur,p33,SanyaKaniyar
v692,Mahad,p43,BhishamGandhi
v693,Hingna,p21,ShardaAdiga
v694,Hingna,p23,ShardaAdiga
v695,Niphad,p4,KamaVarma
v696,Mukhed,p35,UditGill
v697,Mahad,p40,AmritaJha
v698,Baglan,p27,DiptenduNamboothiri
v699,Ulhasnagar,p14,SwaraIyer
v700,Hingna,p22,NOTA
v701,Mahad,p44,LakshmanPillai
v702,Hingna,p22,BaijayantiJain
v703,Mukhed,p36,NawalTandon
v704,Kaij,p19,AnaghBanerjee
v705,Chembur,p34,SanyaKaniyar
v706,Teosa,p7,KamalaSaini
v707,Hingna,p24,HiranyaKhatri
v708,Ulhasnagar,p13,SwaraIyer
v709,Chembur,p34,ChandramohanAhuja
v710,Hingna,p22,BaijayantiJain
v711,Chembur,p30,VedaNaik
v712,Kaij,p17,NOTA
